T1/deathrate-Tdeath/Tpopu,Xselected1,Xselected2,Xselected3,Xselected4,Xselected5,Xselected6,Xselected7,Xselected8,Xselected9
0.000320636,4.915080219,3.088797552,1.869884187,2.067755909,1.623113095,0.727780277,0.385526334,-0.172866077,-0.664475533
0.000046651,4.429178105,2.686090258,1.734813977,2.455496022,1.846831094,1.094822157,0.421262151,-0.574175921,-1.032760694
6.76821E-05,4.917377511,3.123602445,1.799552854,2.179588419,1.69961134,0.737639793,0.461488201,-0.323564918,-0.693869333
3.63511E-05,4.385822339,3.107158006,2.417443271,1.969617412,1.183125515,1.11667485,0.616260054,-0.075905921,-1.089756275
0,4.065009335,2.650369802,2.114591212,1.850133503,0.98074441,0.908177319,0.357571876,-0.497849081,-0.956673291
5.20151E-05,6.584734733,3.073340258,2.038133824,2.067316897,0.922028144,0.899411388,0.21552666,-0.693230728,-0.702610865
2.28768E-06,4.302260863,3.063930384,2.177092733,1.699831626,1.10103861,0.857601462,0.497494676,-0.982367325,-0.986384042
0,3.657565516,2.483714659,1.516074901,1.499248271,0.792144408,0.869722781,0.267341691,-0.610701948,-1.024499689
0,5.575623002,2.909960189,2.098577881,1.721568771,1.214263049,1.140953573,0.310462794,-0.332440034,-1.038064573
5.93786E-05,6.886223294,3.04024156,2.036983734,1.860043619,0.957778493,0.717743385,0.500935983,-0.57266422,-0.790806868
0.000463496,6.586161178,2.989951494,2.084769945,2.159215632,0.835060188,0.879530656,0.386698302,-0.768273864,-0.464875073
0,4.159551632,2.349242643,2.346898951,2.373855743,0.92589378,0.904972214,0.740369949,-0.157270791,-0.826278128
2.20153E-05,4.696012325,3.171355258,2.183500066,1.773330914,0.877529518,1.096160004,0.630471594,-0.229402157,-0.952268323
3.31035E-06,4.57745319,3.099972207,1.956214882,1.552090827,1.138276375,1.06047413,0.288340682,-0.894842872,-0.842006418
4.26153E-06,5.796517093,2.799435739,2.224903083,2.214449355,1.155752723,1.130168417,0.254803393,-0.88109082,-0.644155783
0.000109102,6.838773768,2.960132526,2.012441923,2.243157168,0.817840413,0.804501129,0.39009914,-0.653708566,-0.737081938
5.63191E-06,5.08484145,3.217447021,2.043509033,1.554593685,1.531508735,0.783262589,0.374422622,-0.619536139,-0.925383353
1.94761E-05,6.106481335,3.023026191,1.970606342,2.444642512,0.686109847,0.956269967,0.104836488,-0.694490079,-0.56045489
0,5.651575981,2.406671714,1.346110132,0.567634396,1.473166992,0.719420842,0.186036601,-0.923864719,-1.254296501
0,5.640948988,3.025107831,2.109876088,1.505660513,1.131972244,0.852403413,0.480493622,-0.107750956,-0.937011949
2.96238E-05,5.483237019,2.133919225,2.341422079,1.735538301,1.454021764,0.824205027,0.663506455,-0.494914112,-1.153052722
0.000104211,4.604563662,3.206813855,1.868575961,1.956356508,1.55064091,0.732243249,0.635242919,-0.28560602,-0.722087878
0.000193879,3.773690151,2.436817747,1.652777268,1.50582323,0.783351543,1.04671624,0.451174197,-0.717432364,-0.499918397
3.50268E-06,4.214860299,3.367174773,2.10204849,1.676303121,1.037165222,0.897737578,0.525532745,-0.77669625,-1.024122081
1.32114E-05,4.135754877,3.731630966,2.192854409,1.54650675,0.810782464,0.774161489,0.411809188,-0.81199363,-0.968843698
2.54272E-05,5.06283703,3.264430092,1.963671377,1.889035431,1.646774667,0.704076803,0.536732694,-0.119881501,-0.697607247
1.41197E-05,4.287455705,3.328198172,2.040470909,1.940598434,1.040588411,1.002290417,0.399524852,-0.611277375,-0.965759645
0.000132464,4.564648392,3.076297426,1.91922336,2.028947061,1.666023055,0.682011265,0.520448463,-0.37704184,-0.730495427
0,5.604267656,2.085114836,2.159053174,0.951365712,1.640498003,0.882525592,0.111727755,-0.840597288,-0.589237469
6.16955E-05,6.233930937,2.991694657,2.098641465,2.220109785,0.85308707,0.976378149,0.184861415,-0.509081321,-0.79250055
0.000029304,6.740790226,3.051738783,2.046408576,1.553023238,1.026796809,0.68008889,0.520105009,-0.399478438,-0.88420877
2.59035E-05,4.934761842,2.715779426,1.967810154,2.068037972,1.728238886,0.732071663,0.452297824,-1.051750995,-0.784543495
0.000018492,5.138215152,2.97542526,1.955942762,2.274855857,1.751022825,1.255034947,0.091598497,-0.68120127,-0.841645935
0.000197267,4.450751635,2.409387452,2.168009648,2.188090653,1.065630176,1.002450534,0.389235714,-0.484617755,-0.986079349
0.000116129,4.058510827,3.098196711,1.685842941,2.218422144,1.616594076,0.8964079,0.72973677,-0.286387888,-1.012323996
0.000357042,6.649522079,2.89872245,2.113555177,1.750973835,1.056905174,0.81019591,0.447271902,-0.587276656,-0.906208098
